state_fid,beta
0.24999999999999994,0.0
0.23597591079549388,0.05
0.22032251275884457,0.1
0.20338798336468888,0.15000000000000002
0.18562957961032536,0.2
0.16757308731246567,0.25
0.1497563658934662,0.30000000000000004
0.13266989895464373,0.35000000000000003
0.11670853459393979,0.4
0.1021442248849853,0.45
0.08912206131002433,0.5
0.07767510029566803,0.55
0.06774998475503047,0.6000000000000001
0.05923545165165148,0.65
0.05198809200909092,0.7000000000000001
0.045852529316102966,0.75
0.04067542157484847,0.8
0.03631401991862138,0.8500000000000001
0.03264055273307456,0.9
0.029543733729387806,0.9500000000000001
0.026928478241742885,1.0
0.024714629067426514,1.05
0.022835232351758286,1.1
0.021234699325849975,1.1500000000000001
0.019867044366221713,1.2000000000000002
